com.samsung.shealth.preferences,6266001,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2024-02-22 21:30:18.455,2018-10-09 00:12:29.618,,,,0,87RAVxanZM,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2024-02-22 21:30:18.410,2021-01-16 21:44:21.379,,,,1,87RAVxanZM,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2024-02-22 21:30:18.458,2021-01-16 21:44:21.384,,,,0,87RAVxanZM,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2022-12-02 19:57:00.537,2021-01-16 21:44:29.717,,,,1,87RAVxanZM,com.sec.android.app.shealth,,settings.location_agreement,
,,,2024-07-12 12:51:00.986,2021-08-02 14:54:10.729,,,,1,87RAVxanZM,com.sec.android.app.shealth,,step.detectworkout_switch,
,tracker.exercise,,2022-07-20 21:25:42.086,2021-08-02 21:23:44.124,,,34-favorite_list.blob_value.json,,87RAVxanZM,com.sec.android.app.shealth,,34-favorite_list,
,tracker.exercise,,2022-07-20 21:25:42.091,2021-08-02 21:23:44.124,,,34-workout_list.blob_value.json,,87RAVxanZM,com.sec.android.app.shealth,,34-workout_list,
,,,2021-12-16 10:47:15.698,2021-10-04 17:05:09.095,,,,0,87RAVxanZM,com.sec.android.app.shealth,,weight.tracker_version,
,,,2022-04-10 23:41:19.343,2022-04-10 23:41:17.626,,,,46,87RAVxanZM,com.sec.android.app.shealth,,mindfulness.scene_volume,
,,,2022-04-10 23:41:20.512,2022-04-10 23:41:20.527,,,,0,87RAVxanZM,com.sec.android.app.shealth,,mindfulness.scene_animated_state,
,,,2024-02-21 23:21:30.440,2023-04-11 18:43:52.850,,,,1,87RAVxanZM,com.sec.android.app.shealth,,settings.weather_location_agree,
,,,2023-05-19 21:27:06.622,2023-05-19 21:27:07.708,,,,1,87RAVxanZM,com.sec.android.app.shealth,,settings.map_location_agreement,
