com.samsung.shealth.tracker.heart_rate,6266001,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,20000,,1,2020-12-25 11:43:00.000,,,,2020-12-25 11:43:00.000,2020-12-25 11:43:00.000,94.0,94.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 11:43:00.000,69eadf59-553b-eb67-82a8-3cbad60b8c6e,94.0,
,20000,,1,2020-12-25 11:53:00.000,,,,2020-12-25 11:53:00.000,2020-12-25 11:53:00.000,98.0,98.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 11:53:00.000,ecbf4c37-bf8d-123d-e704-3c1e1a19c543,98.0,
,20000,,1,2020-12-25 12:03:00.000,,,,2020-12-25 12:03:00.000,2020-12-25 12:03:00.000,112.0,112.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 12:03:00.000,9197e708-af6e-8d88-5bc6-f49c9016f2a0,112.0,
,20000,,1,2020-12-25 12:13:00.000,,,,2020-12-25 12:13:00.000,2020-12-25 12:13:00.000,110.0,110.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 12:13:00.000,3b45528b-ede3-7781-6c56-209ed78219a7,110.0,
,20000,,1,2020-12-25 12:33:00.000,,,,2020-12-25 12:33:00.000,2020-12-25 12:33:00.000,98.0,98.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 12:33:00.000,2448211c-ff26-b623-49ce-fa559ae56095,98.0,
,20000,,1,2020-12-25 12:43:00.000,,,,2020-12-25 12:43:00.000,2020-12-25 12:43:00.000,81.0,81.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 12:43:00.000,21e83981-0e53-440d-53cb-0a5a49a8f48c,81.0,
,20000,,1,2020-12-25 12:53:00.000,,,,2020-12-25 12:53:00.000,2020-12-25 12:53:00.000,78.0,78.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 12:53:00.000,66e66af6-987e-c84d-b266-dcdf7afaf523,78.0,
,20000,,1,2020-12-25 13:13:00.000,,,,2020-12-25 13:13:00.000,2020-12-25 13:13:00.000,90.0,90.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 13:13:00.000,c3d4753a-3510-a42e-cd75-b09c06cc43b8,90.0,
,20000,,1,2020-12-25 13:23:00.000,,,,2020-12-25 13:23:00.000,2020-12-25 13:23:00.000,89.0,89.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 13:23:00.000,e42d256d-2d67-8b6b-38d0-df3200141ba5,89.0,
,20000,,1,2020-12-25 13:33:00.000,,,,2020-12-25 13:33:00.000,2020-12-25 13:33:00.000,83.0,83.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 13:33:00.000,02ace823-47bf-ab53-aec2-9d68a7155433,83.0,
,20000,,1,2020-12-25 13:43:00.000,,,,2020-12-25 13:43:00.000,2020-12-25 13:43:00.000,84.0,84.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 13:43:00.000,377b79ea-dc2f-b159-7656-6e89ab0b49d9,84.0,
,20000,,1,2020-12-25 13:46:00.000,,,,2020-12-25 13:46:00.000,2020-12-25 13:46:00.000,84.0,84.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 13:46:00.000,4dcba76a-6265-b485-1503-dc3ef28a5646,84.0,
,20000,,1,2020-12-25 14:03:00.000,,,,2020-12-25 14:03:00.000,2020-12-25 14:03:00.000,90.0,90.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 14:03:00.000,c301c8d5-6d63-94d1-0f35-c8b72b194fd2,90.0,
,20000,,1,2020-12-25 14:24:00.000,,,,2020-12-25 14:24:00.000,2020-12-25 14:24:00.000,87.0,87.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 14:24:00.000,52239794-3dcb-944e-4b5a-514496dcd78e,87.0,
,20000,,1,2020-12-25 14:36:00.000,,,,2020-12-25 14:36:00.000,2020-12-25 14:36:00.000,82.0,82.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 14:36:00.000,5bf1f882-13be-fe19-7b07-55ad0d59a782,82.0,
,20000,,1,2020-12-25 14:43:00.000,,,,2020-12-25 14:43:00.000,2020-12-25 14:43:00.000,99.0,99.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 14:43:00.000,97b3d875-f98d-d399-b853-b2ce69ab8bc9,99.0,
,20000,,1,2020-12-25 14:53:00.000,,,,2020-12-25 14:53:00.000,2020-12-25 14:53:00.000,76.0,76.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 14:53:00.000,6b267efc-f3fd-0e6a-b514-f6c34c773d86,76.0,
,20000,,1,2020-12-25 15:03:00.000,,,,2020-12-25 15:03:00.000,2020-12-25 15:03:00.000,83.0,83.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:03:00.000,9f74a290-46d9-e2b2-4d66-65a39f510731,83.0,
,20000,,1,2020-12-25 15:13:00.000,,,,2020-12-25 15:13:00.000,2020-12-25 15:13:00.000,91.0,91.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:13:00.000,a02ec7a0-0168-61e8-1f3e-07e68a06efb1,91.0,
,20000,,1,2020-12-25 15:23:00.000,,,,2020-12-25 15:23:00.000,2020-12-25 15:23:00.000,80.0,80.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:23:00.000,be088033-04f8-7fc9-56f0-104ebc31ab18,80.0,
,20000,,1,2020-12-25 15:33:00.000,,,,2020-12-25 15:33:00.000,2020-12-25 15:33:00.000,111.0,111.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:33:00.000,c66ec152-6cd4-6be9-1a18-7642ed0e64da,111.0,
,20000,,1,2020-12-25 15:43:00.000,,,,2020-12-25 15:43:00.000,2020-12-25 15:43:00.000,102.0,102.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:43:00.000,b90e1dbb-5265-7e48-704f-c1a9f0bf963a,102.0,
,20000,,1,2020-12-25 15:53:00.000,,,,2020-12-25 15:53:00.000,2020-12-25 15:53:00.000,92.0,92.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 15:53:00.000,b12d82c6-c5ed-a971-4a16-b679f8823fbb,92.0,
,20000,,1,2020-12-25 16:23:00.000,,,,2020-12-25 16:23:00.000,2020-12-25 16:23:00.000,106.0,106.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 16:23:00.000,e482ba4e-e780-00ff-bed6-b60136a9cdf5,106.0,
,20000,,1,2020-12-25 16:33:00.000,,,,2020-12-25 16:33:00.000,2020-12-25 16:33:00.000,107.0,107.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 16:33:00.000,e0fff1b7-3f30-9e67-ac31-26e7de007336,107.0,
,20000,,1,2020-12-25 16:44:00.000,,,,2020-12-25 16:44:00.000,2020-12-25 16:44:00.000,104.0,104.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 16:44:00.000,b2c6c999-1b37-ecc3-57e8-44d80a9f819b,104.0,
,20000,,1,2020-12-25 17:04:00.000,,,,2020-12-25 17:04:00.000,2020-12-25 17:04:00.000,100.0,100.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 17:04:00.000,f1de7c91-5ea7-260e-a8fb-93d71c119f5e,100.0,
,20000,,1,2020-12-25 17:24:00.000,,,,2020-12-25 17:24:00.000,2020-12-25 17:24:00.000,101.0,101.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 17:24:00.000,9a9f801d-f754-b43e-b488-365256ffc25f,101.0,
,20000,,1,2020-12-25 17:34:00.000,,,,2020-12-25 17:34:00.000,2020-12-25 17:34:00.000,96.0,96.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 17:34:00.000,55415bbd-d44b-5643-f4fc-5ed41b1cd4be,96.0,
,20000,,1,2020-12-25 17:44:00.000,,,,2020-12-25 17:44:00.000,2020-12-25 17:44:00.000,72.0,72.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 17:44:00.000,7ede8d9a-61ca-ac75-1834-d1ef92a58615,72.0,
,20000,,1,2020-12-25 17:54:00.000,,,,2020-12-25 17:54:00.000,2020-12-25 17:54:00.000,104.0,104.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 17:54:00.000,d69b0fa7-cf45-f18a-948f-7ff97e13b9b4,104.0,
,20000,,1,2020-12-25 18:04:00.000,,,,2020-12-25 18:04:00.000,2020-12-25 18:04:00.000,103.0,103.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 18:04:00.000,e507bd0a-0bcd-8018-d206-03eec57b738f,103.0,
,20000,,1,2020-12-25 18:20:00.000,,,,2020-12-25 18:20:00.000,2020-12-25 18:20:00.000,75.0,75.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 18:20:00.000,e06fd2b8-b199-72c4-08e2-af18c924a9b0,75.0,
,20000,,1,2020-12-25 18:34:00.000,,,,2020-12-25 18:34:00.000,2020-12-25 18:34:00.000,82.0,82.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 18:34:00.000,efdd1d94-5b84-895d-927d-021482de52d0,82.0,
,20000,,1,2020-12-25 18:44:00.000,,,,2020-12-25 18:44:00.000,2020-12-25 18:44:00.000,80.0,80.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 18:44:00.000,e0582441-1342-0c42-2ab4-7e3f6d6b1167,80.0,
,20000,,1,2020-12-25 19:04:00.000,,,,2020-12-25 19:04:00.000,2020-12-25 19:04:00.000,89.0,89.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 19:04:00.000,edd4c08d-a526-bda8-bfe1-d2f26bf3f713,89.0,
,20000,,1,2020-12-25 19:14:00.000,,,,2020-12-25 19:14:00.000,2020-12-25 19:14:00.000,91.0,91.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 19:14:00.000,af564a6b-a023-bbc8-08f8-1f5abeb4476c,91.0,
,20000,,1,2020-12-25 19:34:00.000,,,,2020-12-25 19:34:00.000,2020-12-25 19:34:00.000,88.0,88.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 19:34:00.000,66d34dab-19d8-d258-b8cb-db8623a3147f,88.0,
,20000,,1,2020-12-25 19:44:00.000,,,,2020-12-25 19:44:00.000,2020-12-25 19:44:00.000,96.0,96.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 19:44:00.000,f206c884-5b48-cf5d-4e99-1b9c166c0a3b,96.0,
,20000,,1,2020-12-25 19:54:00.000,,,,2020-12-25 19:54:00.000,2020-12-25 19:54:00.000,91.0,91.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 19:54:00.000,2f2b641c-3494-fab2-0dac-a375bcfc5804,91.0,
,20000,,1,2020-12-25 20:04:00.000,,,,2020-12-25 20:04:00.000,2020-12-25 20:04:00.000,80.0,80.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:04:00.000,ba59fc26-b95b-751f-d36d-97161bd9008e,80.0,
,20000,,1,2020-12-25 20:14:00.000,,,,2020-12-25 20:14:00.000,2020-12-25 20:14:00.000,100.0,100.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:14:00.000,a01701c5-4bae-66a1-123a-27712b0cf1e7,100.0,
,20000,,1,2020-12-25 20:24:00.000,,,,2020-12-25 20:24:00.000,2020-12-25 20:24:00.000,98.0,98.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:24:00.000,3d6b94f5-624a-e291-95a6-f0e29e0d296a,98.0,
,20000,,1,2020-12-25 20:34:00.000,,,,2020-12-25 20:34:00.000,2020-12-25 20:34:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:34:00.000,1510295b-1bcb-8e0b-fa78-ce18df44ac15,93.0,
,20000,,1,2020-12-25 20:44:00.000,,,,2020-12-25 20:44:00.000,2020-12-25 20:44:00.000,95.0,95.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:44:00.000,d931be64-d932-cc0a-ad4c-2f4924caef38,95.0,
,20000,,1,2020-12-25 20:54:00.000,,,,2020-12-25 20:54:00.000,2020-12-25 20:54:00.000,92.0,92.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 20:54:00.000,9f06c935-b506-42a8-4387-f21faa774a4d,92.0,
,20000,,1,2020-12-25 21:04:00.000,,,,2020-12-25 21:04:00.000,2020-12-25 21:04:00.000,105.0,105.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 21:04:00.000,0e4186a5-918a-0efa-d1d0-5503e87c6fae,105.0,
,20000,,1,2020-12-25 22:09:00.000,,,,2020-12-25 22:09:00.000,2020-12-25 22:09:00.000,100.0,100.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:09:00.000,ad7849f9-0328-b53b-89c0-7bb22d6c9518,100.0,
,20000,,1,2020-12-25 22:12:00.000,,,,2020-12-25 22:12:00.000,2020-12-25 22:12:00.000,97.0,97.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:12:00.000,f26fc70d-115f-4cf5-4d1b-84736c631a05,97.0,
,20000,,1,2020-12-25 22:14:00.000,,,,2020-12-25 22:14:00.000,2020-12-25 22:14:00.000,93.0,93.0,UTC-0300,rCXGezyjDZ,,com.sec.android.app.shealth,2020-12-25 22:14:00.000,9337754d-83cd-98b5-f65f-19e0a94a9ccb,93.0,
