com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,37,2024-06-10 21:28:00.000,,,2024-06-10 21:30:23.000,2024-06-10 21:28:59.000,37,1.4143535,29.59999,1.900282,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 21:28:59.000,cd3a7ce3-7c28-5596-7b4d-21ecbd5b1b56,
,,0,35,2024-06-10 21:35:00.000,,,2024-06-10 21:35:59.000,2024-06-10 21:35:59.000,35,1.7251853,27.999973,1.7316786,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 21:35:59.000,b7094d4b-a175-eca5-d030-0d10688100c1,
,,0,26,2024-06-10 21:36:00.000,,,2024-06-10 21:36:59.000,2024-06-10 21:36:59.000,26,1.2056278,20.800045,1.3488681,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 21:36:59.000,8ebae2a0-2097-6c78-9d9a-29db044fdadc,
,,0,21,2024-06-10 21:38:00.000,,,2024-06-10 21:38:59.000,2024-06-10 21:38:59.000,21,1.4001389,16.800049,1.102642,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 21:38:59.000,14b9b1a3-1c40-a1a1-980e-bfb4d88b561f,
,,0,28,2024-06-10 21:57:00.000,,,2024-06-10 21:57:59.000,2024-06-10 21:57:59.000,28,1.3600849,22.400055,1.4704628,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 21:57:59.000,69c7f357-6318-0774-5916-c86e69d412f4,
,,0,27,2024-06-10 22:09:00.000,,,2024-06-10 22:09:59.000,2024-06-10 22:09:59.000,27,1.2720736,21.600067,1.4014297,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:09:59.000,768c1a79-38cf-f912-b1cc-0ba63b708e49,
,,0,28,2024-06-10 22:11:00.000,,,2024-06-10 22:11:59.000,2024-06-10 22:11:59.000,28,1.5603516,22.400085,1.3969669,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:11:59.000,e169137f-6a68-caf5-0889-3dfcc29ff5be,
,,2,21,2024-06-10 22:12:00.000,,,2024-06-10 22:17:29.000,2024-06-10 22:12:59.000,23,2.119372,19.600082,1.3602896,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:12:59.000,946e2e13-f533-95a3-904b-0927d171263f,
,,0,40,2024-06-10 22:33:00.000,,,2024-06-10 22:33:59.000,2024-06-10 22:33:59.000,40,1.3060195,32.000122,2.127698,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:33:59.000,6b5b760b-8e6e-e189-a0c3-f6653bf6878b,
,,0,28,2024-06-10 22:36:00.000,,,2024-06-10 22:36:59.000,2024-06-10 22:36:59.000,28,1.3129252,22.400085,1.4640207,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:36:59.000,c2b7b5d0-a3f5-6ee3-c340-94e3a452b1a8,
,,0,24,2024-06-10 22:37:00.000,,,2024-06-10 22:37:59.000,2024-06-10 22:37:59.000,24,1.3275837,19.200073,1.2853851,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:37:59.000,8e185e0c-ec34-6acb-d877-367c1e427daa,
